publication_id,published_in,start_page,end_page,continued_on,continuation_end,illustrated,notes,article_subseries,system
-2115768355,1083512012,7,7,,,no,,0,1
-2115455616,982909436,59,59,,,no,"Printed with original Irish, 'Íomha'.",0,1
-2115391277,594803034,922,925,,,no,,0,1
-2115225724,1185354035,315,322,,,unknown,,0,1
-2114473374,-1271203974,50,50,,,no,,0,1
-2114467135,-1557805808,422,426,,,no,August,0,1
-2114313162,-1620519837,83,83,,,no,,0,1
-2113572611,1818349588,11,11,,,no,,0,1
-2113541433,1779568036,22,22,,,no,,0,1
-2112604841,-1490626398,168,168,,,no,Article on the Ladies' Relief committee during the Dublin lock-out.,0,1
-2112409607,1146704851,95,95,,,no,,0,1
-2112304363,567349523,17,18,,,no,Printed with two readings of the poem by Carol Rumens and Michael Laskey. Reprinted from Shelmalier.,0,1
-2112037393,-1092171674,11,13,,,no,,0,1
-2111829347,1128602390,22,22,,,no,,0,1
-2111741611,-709759196,16,17,,,no,,0,1
-2111587435,-1153081661,611,611,,,no,,0,1
-2111399388,-410276349,186,187,,,no,,0,1
-2111152424,2132763316,27,27,,,no,,0,1
-2111084440,-28002660,6,6,,,no,,0,1
-2111025728,-822469687,18,18,,,no,,0,1
-2110230846,-1013163444,264,264,,,unknown,,0,1
-2110171878,1139857232,40,40,,,no,,0,1
-2110139757,1172156138,55,57,,,no,January,0,1
-2109787333,-190000760,240,240,,,yes,"The Rosary (To a comrade, College of Surgeons, Easter Week, 1916)",0,1
-2109780849,-863286957,33,34,,,yes,,0,1
-2109347592,1574012611,35,35,,,no,,0,1
-2109165076,1588823483,17,17,,,no,,0,1
-2107937211,-1913779799,261,280,,,no,,0,1
-2107787939,1174918186,346,361,,,no,July,-530683831,1
-2107335616,1649989344,92,92,,,no,,0,1
-2106976996,313947609,34,34,,,no,,0,1
-2106544404,971838569,8,8,,,no,,0,1
-2106322366,370997462,53,53,,,unknown,,0,1
-2106041085,1711860781,45,45,,,no,,0,1
-2105093869,1215300250,564,571,,,unknown,,0,1
-2104997723,-2016422476,417,448,,,unknown,,0,1
-2104630043,-1336189370,1,4,,,unknown,,0,1
-2104541701,-34939870,88,101,,,yes,,0,1
-2104388849,-489183738,480,486,,,unknown,,0,1
-2103615485,-1873928516,42,68,,,unknown,Review of Field Day Anthology 4 & 5,0,1
-2103189637,1173110667,624,624,,,no,October,0,1
-2102882090,-816049945,7,7,,,no,,0,1
-2102740857,-113121700,112,112,,,no,,0,1
-2102678133,-856499373,44,48,,,no,,0,1
-2102318190,313947609,14,15,,,no,,0,1
-2101862539,1387502020,4,4,,,no,,0,1
-2101032114,1799855688,83,93,,,yes,,0,1
-2100182370,1814103089,6,7,,,no,,0,1
-2099243168,1133457499,90,90,,,no,,0,1
-2098068920,1258692382,17,17,,,yes,,0,1
-2097395427,-512745727,261,272,,,no,,0,1
-2096827087,-1995458576,3,,,,unknown,information from index of authors 1924-1987,0,1
-2096699663,-203667280,40,45,,,yes,,0,1
-2096391877,-197984376,109,110,,,no,,0,1
-2096243733,338568504,135,148,,,no,,1422864511,1
-2095972081,-831606182,80,90,,,no,February,1876797860,1
-2095821566,-295744904,89,89,,,no,,0,1
-2095807090,1170502890,675,675,,,no,,0,1
-2095425204,1173110667,641,641,,,no,October. Translated from the French,0,1
-2095154542,1141662828,22,22,,,no,For Miriam Eytan,0,1
-2095150891,1876448263,1,5,,,unknown,,0,1
-2094792932,-611314120,207,214,,,no,,0,1
-2094759243,430667041,352,353,,,no,July,0,1
-2094619616,1141828220,17,17,,,no,Translated from Romanian.,0,1
-2094601880,-1992349796,12,13,,,yes,,0,1
-2094545786,-1270295514,22,22,,,no,,0,1
-2094166297,893837200,263,271,,,unknown,,0,1
-2094048326,1135010462,42,42,,,no,,0,1
-2094038801,613734246,150,155,,,no,,0,1
-2093976747,107704662,393,410,,,no,August,-597338153,1
-2093619773,-1224999740,73,73,,,no,,0,1
-2093574870,-952671123,17,17,,,no,,0,1
-2093500285,-1191454840,197,199,,,no,,0,1
-2093080327,87948435,4,5,,,no,,0,1
-2092968315,892613474,23,23,,,unknown,,0,1
-2092495687,-479416102,29,44,,,no,,0,1
-2092417048,-343679460,15,16,,,no,Page no.s in Roman numerals,0,1
-2092330743,-1859344212,169,169,,,yes,,-397116599,1
-2092245164,758988892,81,84,,,no,,656670317,1
-2091426935,-619690328,21,24,,,no,,0,1
-2091222291,1467480289,26,26,,,no,,0,1
-2090860445,1866354986,316,337,,,no,,0,1
-2090794530,1700759068,10,10,,,no,,0,1
-2090435886,2107494837,527,527,,,no,,0,1
-2090255543,-35701400,55,76,,,unknown,,0,1
-2090193315,-953509568,41,41,,,no,,0,1
-2089640089,-595643714,393,430,,,unknown,,0,1
-2089585929,2082493538,22,22,,,unknown,,0,1
-2089525670,1798865820,64,78,,,no,,0,1
-2089427058,-2055135096,22,22,,,no,,0,1
-2089064301,-4118502,23,29,,,unknown,,0,1
-2088979664,2088240722,1,21,,,no,,0,1
-2088526704,1172687488,500,500,,,no,September,0,1
-2088040475,992700745,18,19,,,no,,0,1
-2087980201,2065742958,391,406,,,no,,0,1
-2087022485,1267540151,625,649,,,no,,0,1
-2086980070,1174646083,520,522,,,no,Written in Lowland Scotch.,0,1
-2086247851,245418648,20,21,,,yes,,0,1
-2085112266,2146776157,28,28,,,no,,0,1
-2084777851,863045609,100,109,,,no,Feb,0,1
-2084716376,846805667,271,271,,,unknown,,0,1
-2084148804,-1498535801,0,0,,,no,,0,1
-2083180999,-855096808,7,7,,,no,,0,1
-2083137487,1570448548,463,469,,,no,,0,1
-2082819706,-293346158,378,378,,,no,,0,1
-2082814180,1149280800,77,78,,,no,"Printed with original Irish version, 'An Obair'",0,1
-2082748186,2132480069,29,29,,,no,'from part VI of For The Birds',0,1
-2082553552,-746663716,40,40,,,no,,0,1
-2082495069,449622087,44,44,,,no,,0,1
-2082401583,-772050928,30,43,,,no,,0,1
-2081546469,-1485436670,122,122,,,no,,0,1
-2081306168,149896259,43,54,,,unknown,,0,1
-2081252925,-1557805808,294,294,,,no,June,0,1
-2080847237,86814256,37,38,,,no,Translated from German,0,1
-2080611612,-1801981114,17,17,,,yes,,0,1
-2080601932,1373610587,53,73,,,no,Four extracts from the novel,0,1
-2080424314,582322361,16,16,,,no,,0,1
-2080320197,-570297878,52,52,,,no,,0,1
-2080216992,-2009773214,10,11,,,no,,0,1
-2080099017,-473296434,3,,11,11,no,,0,1
-2079808150,1141671476,28,28,,,no,,0,1
-2079457805,-910887043,245,268,,,unknown,,0,1
-2078756991,2073912799,826,841,,,no,,0,1
-2078705517,1144854537,7,7,,,no,,0,1
-2078650680,948067599,423,430,,,no,August,1437639093,1
-2077884569,-327413058,6,7,,,no,,0,1
-2077824088,808776099,9,9,,,no,Published in The Irish Press.,1196432413,1
-2077534902,670888883,399,400,,,unknown,,0,1
-2077142630,348433070,36,36,,,no,,0,1
-2076974790,1489306294,34,34,,,no,,0,1
-2076861790,1132773275,58,58,,,no,,0,1
-2076657949,1712642663,230,231,,,no,,0,1
-2076634540,2021855394,38,40,,,unknown,,0,1
-2075739537,339815927,294,294,,,no,,-159297903,1
-2075055028,-1696294802,10,12,,,no,,0,1
-2074457185,222762388,429,431,,,no,July. Misprinted in index as p420,0,1
-2073470133,567349523,19,22,,,no,"A reading of Medbh McGuckian, 'The Birthday of Monday', printed with a second reading of the same poem by Michael Laskey.",0,1
-2073400729,-1949824578,34,44,,,no,,0,1
-2073349255,1594209975,36,38,,,no,,0,1
-2073174755,1152083621,14,14,,,no,,0,1
-2073096949,-595257280,304,307,,,unknown,,0,1
-2072237472,-1492849601,86,88,,,no,Review of Patricia Lynch and Eilís Dillon,0,1
-2071606844,911857071,123,123,,,no,,0,1
-2071475875,982909436,83,84,,,no,,0,1
-2071248914,-2103469887,32,32,,,unknown,,0,1
-2070918507,1292331282,134,134,,,unknown,,-2039615731,1
-2070732249,918773871,28,28,,,no,,0,1
-2070706687,1172077206,323,696,,,no,Chapters 1-20. Continued in Vol 38,0,1
-2070696226,-1044788500,167,167,,,no,Letter and petition to the Lord Lieutenant,-683429388,1
-2070277077,-808188229,269,270,,,no,,0,1
-2070232081,1392641638,36,54,,,no,,0,1
-2070001604,1093341447,30,30,,,no,,0,1
-2069523963,1111298689,77,77,,,no,,0,1
-2068813103,-1120458736,69,77,,,no,,0,1
-2068749948,-328572424,15,15,,,yes,,0,1
-2068604135,645811832,90,90,,,no,,0,1
-2068536035,1174918186,415,416,,,no,August,0,1
-2068481364,1147797664,22,25,,,no,"Review of CS Lewis, Studies in Words",0,1
-2068396004,-1810725104,4,4,,,no,,0,1
-2068383316,-910620033,18,18,,,no,,0,1
-2068258789,1701525349,5,5,,,unknown,,0,1
-2067724055,1133457499,80,80,,,no,,0,1
-2067107744,-459984400,22,22,,,no,In Memoriam Francis Sheehy Skeffington.,0,1
-2066500416,-948490450,391,392,,,unknown,,0,1
-2066379981,-1594707420,562,564,,,no,October,0,1
-2063823236,-1879700619,331,336,,,unknown,,0,1
-2063700019,1144782031,116,119,,,no,,0,1
-2063342415,-293346158,381,381,,,no,,1497182975,1
-2063243921,-1960682642,30,30,,,no,Letter sent to the Press regadring the suffragist prisoners in Tullamore,-159297903,1
-2062764572,1216311180,17,17,,,no,For Y.R.,0,1
-2062635695,-1890370001,261,262,,,no,,0,1
-2062511788,403539327,13,13,,,unknown,,0,1
-2062217702,-1110403800,105,105,,,no,,0,1
-2062199986,-1808633824,20,20,,,no,,0,1
-2061674378,-2042580887,42,72,,,no,,0,1
-2061469170,2143498081,23,24,,,no,,0,1
-2061325813,-1125038586,34,36,,,yes,,0,1
-2061204313,1602267115,12,12,,,no,,0,1
-2060677742,1649399717,96,99,,,no,"Review of Greg Delanty, American Wake; Gerard Donovan, Kings and Bicycles; Pól O'Muirí, D-Day.",0,1
-2060564787,1910017404,233,237,,,no,,0,1
-2060541545,453987246,21,26,,,unknown,,0,1
-2060374978,-868544846,20,20,,,no,,0,1
-2060329524,1174485640,431,431,,,no,October,0,1
-2060199819,-37562684,801,808,,,unknown,,0,1
-2060138279,-1490515144,,,,,unknown,,1196432413,1
-2059827738,-1784257934,181,181,,,no,,0,1
-2059741584,1928988223,6,7,,,no,January,0,1
-2059591435,-1864363354,636,638,,,no,,0,1
-2059293832,1156768289,16,16,,,no,,0,1
-2058519694,2080463604,56,56,,,no,,0,1
-2058023042,982909436,55,55,,,no,,0,1
-2057908935,400211224,4,6,,,yes,"""looks at the treatment of women in Irish literary culture.""",0,1
-2057673822,-1424318266,38,38,,,no,,0,1
-2057488125,-642911300,7,7,,,no,,0,1
-2057461148,-732625210,122,135,,,no,,0,1
-2057370443,595106820,9,9,,,no,The Irish Press,1196432413,1
-2057334854,-1377723820,13,13,,,no,,0,1
-2057016060,992780507,337,341,,,no,July,0,1
-2056868116,-443049787,159,159,,,no,,0,1
-2056681897,285965166,2,,,,unknown,information from index of authors 1924-1987,0,1
-2056235999,6514043,7,,,,unknown,information from index of authors 1924-1987,0,1
-2055365301,-1526410780,12,13,,,yes,,0,1
-2055127565,508282721,14,14,,,no,,0,1
-2054933232,314457591,25,25,,,yes,,0,1
-2054855075,2061152554,17,18,,,no,,0,1
-2054503996,-809857539,162,162,,,no,,0,1
-2054420991,-2109606866,257,,,,unknown,,0,1
-2054324926,-1609033793,292,294,,,no,May,0,1
-2054314736,-1206255343,11,12,,,no,Read at the IWFL.,0,1
-2054030334,1225689865,19,19,,,no,,0,1
-2053739737,1604542150,62,62,,,no,,349700525,1
-2053541435,123281802,16,17,,,no,,0,1
-2053078730,-233001651,13,14,,,unknown,,0,1
-2052725671,-611046502,63,63,,,no,,0,1
-2052364793,-129035445,6,6,,,no,,0,1
-2051905544,-1397497549,43,51,,,unknown,,0,1
-2051879830,2134347153,16,18,,,yes,,0,1
-2051425942,1604542150,66,66,,,no,,0,1
-2051246060,-1668153537,0,0,,,no,title is first line of poem as there was no title,0,1
-2051166186,201821381,44,46,,,unknown,,0,1
-2051128843,-1366068647,np,np,,,no,,0,1
-2051122308,461160478,15,15,,,yes,,0,1
-2050434744,-1567413238,26,27,,,no,review of Uisce Báis agus Beatha by Lorcán Ó Treasaigh,0,1
-2050362652,-1212081535,22,22,,,no,,0,1
-2050277494,228263404,359,359,,,no,Letter sent to the Dublin press.,0,1
-2050264260,1700759068,10,10,,,no,,0,1
-2050104384,-661101758,,,,,no,,0,1
-2049781407,-118795552,155,155,,,unknown,,0,1
-2049735707,1118926024,51,51,,,no,,0,1
-2049261843,1928988223,511,519,,,no,September,0,1
-2048829278,1504825983,10,11,,,no,,0,1
-2048796006,-707943551,21,21,,,no,,0,1
-2048304783,1688114480,275,291,,,unknown,,0,1
-2048151614,-352296859,319,333,,,no,,0,1
-2048041738,1141662828,52,52,,,no,,0,1
-2047925337,1753768721,,,,,unknown,,0,1
-2047761561,-1680564796,7,7,,,unknown,,0,1
-2047725073,-831606182,369,380,,,no,julyn,0,1
-2047357270,-2017528851,1,1,,,unknown,,0,1
-2047336310,-794126003,51,59,,,unknown,,0,1
-2047001809,274233520,133,133,,,no,,0,1
-2046988697,1171710502,225,227,,,no,April,0,1
-2046317416,-1270295514,21,21,,,yes,,0,1
-2046190332,1096656998,11,,,,unknown,information from index of authors 1924-1987,0,1
-2045713204,660081111,,,,,unknown,,1196432413,1
-2045238654,-1721775908,23,23,,,no,,0,1
-2044111607,-320235010,25,25,,,no,,0,1
-2044004474,-2117682450,13,13,,,no,,0,1
-2043797360,1004906585,65,74,,,unknown,,0,1
-2043078499,-1225425801,154,154,,,no,"Letter sent to the Lord Lieutenant, adding more names to the petition in support of the English prisoners in Mounjoy jail.",0,1
-2042858345,672606427,225,236,,,no,,0,1
-2042441167,-1086673999,36,59,,,no,,0,1
-2042169331,1174055092,410,410,,,no,August,0,1
-2042141953,693972551,569,573,,,no,,0,1
-2041992391,-1743491731,642,647,,,yes,,0,1
-2041966845,-1276387778,369,369,,,unknown,,0,1
-2041753004,21949055,778,786,,,unknown,,0,1
-2040873829,-1572696106,63,63,,,no,Imitation of Douglas Hyde's Songs of Connacht. Part of an issue featuring only women poets,0,1
-2040462391,994572264,1,12,,,no,,0,1
-2040420611,-1662118779,18,18,,,no,"""(de mortuis, etc)""",0,1
-2039784834,-1003698287,1,,,,no,information from index of authors 1924-1987,0,1
-2039471785,1646210738,1,5,,,unknown,,0,1
-2039251022,348433070,50,50,,,no,,0,1
-2039116065,1415633284,23,23,,,yes,,0,1
-2038870520,-611046502,40,40,,,no,,0,1
-2038737666,86814256,78,84,,,no,,0,1
-2038712151,-1847713830,36,36,,,no,,0,1
-2038501259,-1276387778,151,152,,,unknown,,0,1
-2038050984,-740362342,8,9,,,unknown,notes,0,1
-2037959056,-1046488870,16,17,,,no,,0,1
-2037931921,-262888218,95,95,,,unknown,,0,1
-2037636993,463519542,15,15,,,no,"""Officer and Laughing Girl (Vermeer)""",0,1
-2037334951,-869546016,222,223,,,no,,0,1
-2037318780,-1470323089,10,11,,,unknown,,0,1
-2037120335,2047200085,123,126,,,no,,0,1
-2037029933,1984815436,128,136,,,no,,0,1
-2036849100,-666581137,322,328,,,yes,,0,1
-2036772836,-1110080047,4,4,,,no,,0,1
-2036764944,-1189636341,278,284,,,unknown,,0,1
-2036753395,1124373158,302,303,,,unknown,,0,1
-2036614472,1182500989,312,312,,,unknown,,0,1
-2036423290,748711737,460,460,,,unknown,,0,1
-2036406124,1686115209,166,166,,,no,March,0,1
-2036108617,1144780726,8,8,,,no,,0,1
-2036005448,107695603,20,24,,,no,,0,1
-2035123148,1315258707,104,104,,,no,,0,1
-2034980456,146328915,19,19,,,no,,0,1
-2034824135,615871219,408,411,,,no,July,0,1
-2034580925,-1358016516,15,17,,,no,,0,1
-2034446479,-1684521315,15,15,,,no,,0,1
-2034100820,-1001788512,251,256,,,yes,,0,1
-2033909128,1180508076,130,130,,,no,,0,1
-2033084070,-1103771811,361,363,,,unknown,,0,1
-2032473631,1641505812,13,15,,,no,,0,1
-2031961248,-217527493,150,157,,,no,,0,1
-2031900440,-602416470,8,8,,,unknown,,0,1
-2031868244,-398759542,22,23,,,no,,0,1
-2031532522,-742047637,20,21,,,no,,0,1
-2031381014,-552412674,13,,15,15,no,,0,1
-2031002557,-1096431758,11,11,,,no,,0,1
-2030865732,-1439323914,230,230,,,no,,0,1
-2030423489,945761842,14,15,,,no,,0,1
-2030317608,-2042492159,4,6,,,yes,,0,1
-2029949632,-1609033793,523,527,,,no,August,0,1
-2029944936,-539721697,0,0,,,no,,0,1
-2029808556,274432158,73,73,,,no,,0,1
-2029766890,909364617,,,,,unknown,,1196432413,1
-2029683261,-1546817103,375,383,,,unknown,,0,1
-2029650711,-662990262,253,258,,,yes,,0,1
-2029454631,-969265528,37,47,,,yes,,0,1
-2029421303,-279839679,111,112,,,no,,0,1
-2029275859,1412436316,140,153,,,no,,0,1
-2029156254,-1533451866,404,404,,,no,,285228734,1
-2028971981,1138008993,12,12,,,no,,0,1
-2028781677,-714289875,163,563,,,no,in eighteen chapters,0,1
-2028663360,921848258,3,4,,,yes,,0,1
-2028443227,1493293096,22,22,,,no,,0,1
-2028293069,-1887992262,68,79,,,no,,0,1
-2027886522,-112553087,45,45,,,no,,0,1
-2027448686,-171462777,33,33,,,yes,,0,1
-2027336156,1342755923,12,12,,,no,,0,1
-2027192803,-1153081661,500,500,,,no,,0,1
-2027137160,-1296589279,25,25,,,no,,0,1
-2026835532,-603126408,50,52,,,no,"Review of Seamus Deane, Heroic Styles; Declan Kiberd, Anglo-Irish Attitudes.",0,1
-2026790109,-871814402,10,11,,,unknown,,0,1
-2026390222,-1093600875,14,17,,,no,,0,1
-2025519679,420789205,0,0,,,unknown,,0,1
-2025484120,1228916862,69,70,,,no,,0,1
-2025109823,721728962,10,27,,,no,,0,1
-2024943166,-1458419099,90,106,,,unknown,,0,1
-2024930129,-552527560,191,191,,,no,,0,1
-2024665085,1850507655,55,84,,,no,,0,1
-2024621092,1147942695,8,9,,,yes,,0,1
-2024535294,1149005989,,,,,unknown,,1196432413,1
-2024117546,-1014537782,46,47,,,no,,0,1
-2024076679,-1397404032,76,78,,,unknown,,0,1
-2023958127,-603828375,267,267,,,no,,744652327,1
-2023777961,994097774,2,6,,,yes,,-1840112052,1
-2023626148,-127946841,16,16,,,unknown,Article on Rita Ann Higgins,0,1
-2023445839,1144782031,106,106,,,no,,0,1
-2023217793,-1341398223,25,25,,,no,,0,1
-2022939946,-528704693,5,7,,,no,"""i gcead don mBab Feirtéar""",0,1
-2022522684,-739109338,14,16,,,yes,,0,1
-2022332342,-79374323,18,20,,,no,,0,1
-2022331374,-519581707,205,211,,,yes,,795663428,1
-2022065322,-465691478,9,12,,,no,,0,1
-2021997098,1951328081,32,32,,,no,,0,1
-2021180856,-1392044258,18,18,,,yes,,0,1
-2020911246,819176661,5,5,,,no,,0,1
-2020655079,627835080,36,37,,,no,,0,1
-2020123125,748711737,366,367,,,unknown,,0,1
-2020079242,333309827,14,15,,,no,,0,1
-2019677667,526572779,36,36,,,no,,0,1
-2019343182,164321186,114,115,,,no,,-488816170,1
-2019325288,1827197523,2,3,,,no,,0,1
-2019295990,1597119966,100,100,,,no,,0,1
-2018961228,1132751897,111,113,,,no,"Review of Kerrie Hardie, A Furious Place; Mark Roper, Catching the Light.",0,1
-2018833563,-493602281,72,72,,,no,,0,1
-2018766274,1128592977,15,17,,,no,,0,1
-2018365497,568893598,97,102,,,unknown,,0,1
-2018333925,1188974108,27,27,,,no,,0,1
-2018246039,1626152067,4,5,,,no,,0,1
-2017987424,1452815965,109,109,,,no,"'Extracts from a speech delivered at Ballysodare, Sligo, on August 6th'.",0,1
-2016918861,1173873163,648,657,,,no,October,1663163965,1
-2016885183,726368275,545,554,,,no,October,0,1
-2016877822,1171639226,605,606,,,no,Oct,0,1
-2016101628,-444947592,23,23,,,no,,0,1
-2015120526,1774383317,45,48,,,no,,0,1
-2014584519,-1999890366,13,13,,,no,,0,1
-2014300705,690754492,172,174,,,no,,0,1
-2014039180,-1625573472,186,186,,,no,Letters to Bonar Law asking him to receive a IWSF deputation.,-159297903,1
-2013203534,1000999888,66,66,,,no,,0,1
-2013130723,1144860695,4,5,,,no,,0,1
-2012939714,-1619540259,210,210,,,unknown,,0,1
-2012205123,-606868091,202,203,,,no,April,0,1
-2012045564,1132328220,94,94,,,no,,0,1
-2011616097,-953740501,55,55,,,no,Letter to Asquith,-683429388,1
-2011233622,1215913766,74,74,,,no,February,0,1
-2010991767,-1007891960,,,,,unknown,,1196432413,1
-2010722151,-1594707420,30,33,,,no,January,0,1
-2010308742,-1818994179,8,9,,,unknown,,0,1
-2010271851,637815897,399,399,,,no,,0,1
-2009968558,-1510226458,19,19,,,no,"Review of 'An Nathair Bheag', 'Inniu is Ciaróg Mé' by Seán Ó Coisdealbha",0,1
-2009491014,1570727229,17,38,,,unknown,,0,1
-2009306482,526572779,56,56,,,no,,0,1
-2008804199,1475411963,30,30,,,no,For Lajos Kassak. Translated from Hungarian,0,1
-2008477418,1130254217,21,21,,,no,,0,1
-2008290226,1743655857,254,258,,,no,,0,1
-2008235605,-2053853009,72,74,,,no,,0,1
