publication_id,published_in,start_page,end_page,illustrated,notes
-1960025821,744221365,,,unknown,
-1959693458,641538878,1587,1588,no,"FD section 'Feminism, Culture and Critique in English'."
-1959187657,641538878,1379,1379,no,FD section 'Contemporary Poetry'.
-1958791404,1040554684,25,26,unknown,winner under-9 story
-1957379126,641538878,552,553,no,"FD section 'The Labour Movement 1800-2000'. First published in the Irish Citizen, Nov 1919."
-1956661158,641538878,135,135,no,"FD section 'Women and Politics in Indepenent Ireland, 1921-68'."
-1956066983,1155205332,1205,1208,no,FD Section 'Life Stories'.
-1955992385,-1024243326,28,28,unknown,
-1955944766,641538878,171,174,no,"FD section 'Women and Politics in Indepenent Ireland, 1921-68'."
-1953518612,-1757064847,61,61,unknown,
-1952805207,641538878,453,457,no,"FD section 'Women and Politics in Northern Ireland, 1993-2000'. Debate on 20 June 2000."
-1951598412,641538878,849,857,no,"FD section 'Women's Narratives, 1800-40'."
-1950913566,1916914580,,,no,
-1950396835,1990952211,86,98,no,
-1949986070,2054246404,136,151,no,
-1948161540,641538878,1193,1200,no,FD section 'Contemporary Fiction'.
-1945730125,641538878,1200,1202,no,FD section 'Contemporary Fiction'.
-1944230070,877202092,117,147,no,
-1944012632,1141057531,170,174,no,
-1939443905,1519339388,721,721,unknown,
-1934247771,641538878,1391,1391,no,FD section 'Contemporary Poetry'.
-1934028694,641538878,1087,1094,no,"FD section 'Aesthetics and Politics, 1890-1960'. First published in Studies, 1944."
-1933077222,1456320444,,,unknown,
-1931624516,1155205332,1095,1099,no,"FD section 'Lesbian Encounters, 1745-1997'."
-1931294376,1155205332,1435,1445,no,Fd section 'Writing Oral Traditions'.
-1928689754,641538878,732,734,no,"FD section 'Workhouses'. First published in New Ireland Review, vol 13 (May 1900)."
-1928065617,1175079171,89,98,unknown,
-1926802325,-492502623,253,266,no,
-1926437067,-492502623,234,252,no,
-1926304795,-1896946720,56,57,unknown,
-1924817712,641538878,320,328,no,
-1921818289,1519339388,515,517,unknown,
-1917166416,641538878,168,169,no,"FD section 'Women and Politics in Indepenent Ireland, 1921-68'. First published in The Irish Housewife, no. 2 (1948)."
-1916274141,641538878,1346,1346,no,FD section 'Contemporary Poetry'.
-1915580275,1155205332,834,836,no,"FD section 'Sexual Expression and Genre, 1801-1917'."
-1912742424,1155205332,1118,1118,no,"FD section 'Lesbian Encounters, 1745-1997'."
-1911376657,-971430189,21,21,unknown,Winner of the Womens Work (1992) poetry competition
-1910001289,641538878,1372,1372,no,FD section 'Contemporary Poetry'.
-1909323048,1174414208,1,12,unknown,
-1906813102,1141057531,158,161,yes,
-1905837035,1155205332,755,760,no,
-1905709081,-1896946720,55,56,unknown,
-1902728561,-1209873395,309,319,no,
-1902523710,-1870854362,133,147,no,
-1901824750,-1829454524,,,unknown,
-1901147244,1454525488,95,108,no,
-1900845223,-1489523359,145,167,no,
-1899195813,1185039783,82,97,no,
-1898829625,1519339388,628,629,unknown,
-1897278341,-1757064847,160,160,unknown,
-1896823944,1184963784,77,88,no,
-1895493528,-856673162,,,no,
-1894667145,1454525488,185,204,no,
-1891150395,-2098903,9,9,unknown,winner under-9
-1888447239,877202092,233,263,no,
-1881356653,-1757064847,204,204,unknown,
-1879314139,-1896946720,36,37,unknown,Published in the Honest Ulsterman  (v91)
-1878019827,641538878,1393,1393,no,FD section 'Contemporary Poetry'.
-1876514558,1155205332,635,635,no,"Scéala/Annunciations. FD section 'Poetry of the Spirit, 1900-95'."
-1873908848,1155205332,1104,1104,no,"FD section 'Lesbian Encounters, 1745-1997'."
-1873672805,-971430189,9,9,unknown,
-1873641733,-1801548117,159,160,unknown,
-1872737699,-1896946720,61,62,unknown,
-1870507517,-971430189,36,,unknown,
-1869515500,1202738011,157,176,no,
-1869175423,-1896946720,38,38,unknown,
-1867559473,1176462032,41,41,unknown,
-1865516737,641538878,1387,1387,no,FD section 'Contemporary Poetry'.
-1864397033,1155205332,572,576,no,"First published in The Tablet [ital], 4 December 1976. FD section 'Recollections of Catholicism, 1906-1960'."
-1864228542,1519339388,591,592,unknown,
-1863876443,-1757064847,196,197,unknown,
-1862745009,1155205332,1068,1068,no,"FD Section 'Erosion of Heterosexual Consensus, 1940-2001'."
-1862435990,-2082907021,,,unknown,
-1861931805,641538878,1396,1397,no,FD section 'Contemporary Poetry'.
-1860669622,-1168237811,,,no,
-1859989418,-1857982938,110,115,unknown,from 2001
-1858261271,641538878,1123,1129,no,
-1857428993,1155205332,695,702,no,FD section 'Theology and Ethics: The Twentieth Century'.
-1855516477,680885255,206,218,yes,
-1853821316,-2082907021,,,unknown,
-1853177305,1519339388,282,283,unknown,
-1852912649,641538878,1394,1395,no,FD section 'Contemporary Poetry'.
-1852900110,-722001478,,,unknown,
-1849904482,-971430189,14,14,unknown,
-1849220353,-1896946720,26,26,unknown,
-1845582537,-1896946720,71,72,unknown,
-1845053433,-1896946720,43,44,unknown,
-1844971685,1176369270,23,23,unknown,
-1842374550,-2113571889,,,no,
-1842098447,529881238,,,no,
-1841637171,1187005574,17,30,no,
-1840581302,0,,,unknown,
-1840290274,1155205332,1408,1408,no,"FD section 'Spirituality and Religion'. First Published in Béaloideas, vol 6 (1936)"
-1838107826,866585257,187,201,no,
-1836852223,1519339388,689,690,unknown,
-1836523094,-1857982938,82,89,unknown,from 2000
-1836355635,548479339,73,74,unknown,
-1836078877,-1767510575,,,unknown,
-1835080247,-1767510575,,,unknown,
-1834968673,-145657772,1,2,unknown,
-1832752007,641538878,1369,1370,no,FD section 'Contemporary Poetry'.
-1829671121,1157986840,34,44,no,
-1826792298,1176369270,74,74,unknown,
-1826420816,-1843794069,,,unknown,
-1826390222,-284309987,33,57,no,
-1823890891,1150861304,8,8,unknown,
-1818256635,652450769,,,no,
-1818210108,203234616,51,66,no,
-1814490418,1177765026,236,236,unknown,
-1811639752,-2082907021,,,unknown,
-1807419764,-996415434,105,115,no,
-1806899887,1155205332,195,196,no,"FD section 'The Women's Movement in the Republic, 1968-80'. First published in the Irish Times, 8 Oct 1970"
-1806299722,-2082907021,,,unknown,
-1802866911,641538878,1323,1323,no,FD section 'Contemporary Poetry'.
-1801804834,-2082907021,,,unknown,
-1801199342,668813204,,,no,
-1800673574,641538878,1332,1332,no,FD section 'Contemporary Poetry'.
-1798627324,1176462032,31,31,unknown,
-1798045345,1178706087,26,28,unknown,
-1795412740,641538878,1456,1461,no,"FD section 'Republic of Ireland: Politics of Sexuality. 1965-2000'. First published in the Sunday Tribune, 14 Nov 1993."
-1795171933,-78472961,,,unknown,
-1792423878,-1689987789,,,unknown,
-1791788979,641538878,1019,1022,no,"FD section 'Identity and Opposition: Women's Writing, 1890-1960'. First published in the Kenyon Review, vol 6, no 3 (1944)."
-1791340284,1181223449,91,96,unknown,
-1788505394,-40402274,16,27,no,
-1788427457,-1209873395,26,32,no,
-1783362442,641538878,1160,1164,no,FD section 'Contemporary Fiction'.
-1782307606,641538878,1352,1353,no,FD section 'Contemporary Poetry'.
-1780286095,18383829,62,62,unknown,
-1778737903,641538878,1476,1484,no,
-1777747556,641538878,1439,1444,no,FD section 'Republic of Ireland: Politics of Sexuality. 1965-2000'.
-1776764845,423919546,18,19,unknown,
-1775989987,-142216425,,,unknown,
-1775421218,128022962,,,unknown,
-1772447069,1519339388,404,404,unknown,
-1769662560,1176369270,10,10,unknown,
-1768238889,887901212,108,130,unknown,
-1767064205,-725429263,72,74,unknown,
-1766815696,1031702504,,,unknown,
-1766625029,894285905,170,183,no,
-1764253023,1519339388,324,326,unknown,
-1763285144,641538878,1340,1340,no,FD section 'Contemporary Poetry'.
-1761067351,-1801548117,121,122,unknown,
-1760696067,-145657772,437,450,unknown,
-1760693048,2001941003,,,unknown,
-1758484424,-1285562772,,,unknown,
-1757771106,1176462032,23,23,unknown,
-1756187134,641538878,398,400,no,"FD section 'Political Activism in Northern Ireland, 1960-93'. First published in the Sunday Tribune, 4 July 1999."
-1755939191,-1896946720,35,35,unknown,
-1754947231,1197822356,406,411,yes,
-1753969261,1184963784,207,217,no,
-1750398559,-1801548117,160,161,unknown,
-1748791091,-971430189,56,57,unknown,
-1748351793,1519339388,709,710,unknown,
-1747738774,812436350,43,61,no,
-1747657867,667599357,,,unknown,
-1746561527,-1757064847,194,194,unknown,
-1742859901,1155205332,1358,1359,no,FD section 'The Song Tradition'. Original from Radion Telefí Éireann Recording (pre-1976).
-1738806619,1176462032,64,64,unknown,
-1737984395,1176369270,68,68,unknown,
-1737965561,-1024243326,13,13,unknown,winner under-14 poem
-1735882511,641538878,1386,1386,no,FD section 'Contemporary Poetry'.
-1735418142,267225311,,,no,
-1731474904,1176369270,73,73,unknown,
-1730263164,18383829,25,25,unknown,
-1729776034,1184963784,255,269,no,Written with assistance of Pavee Point Primary Health Care for Travellers Project
-1728909387,641538878,384,387,no,"FD section 'Political Activism in Northern Ireland, 1960-93'."
-1728757394,18383829,34,34,unknown,
-1727987536,-284309987,93,123,no,
-1727809313,18383829,54,54,unknown,
-1727553681,-1801548117,169,170,unknown,
-1727036853,18383829,61,61,unknown,
-1724725294,1176462032,60,60,unknown,
-1724163295,1155205332,1039,1041,no,
-1723485273,1002138787,,,unknown,
-1723180371,1150861304,18,18,unknown,
-1720007767,-1907320341,8,8,unknown,
-1719368807,-492502623,121,137,no,
-1718514806,18383829,5,5,unknown,
-1713892905,-1896946720,17,18,unknown,
-1712100444,641538878,1452,1454,no,"FD section 'Republic of Ireland: Politics of Sexuality. 1965-2000'. First published in the Observer, 23 Feb 1992."
-1711286722,290894415,,,no,
-1711161080,-2082907021,,,unknown,
-1709108542,-567267297,91,102,no,
-1707299153,-1757064847,246,247,unknown,Published in The Honest Ulsterman 107 (1999)
-1706758248,548479339,2,5,unknown,
-1706706598,-1692346770,17,32,no,
-1706030134,1155205332,990,999,no,"FD section 'Public Discourse, Private Relfection, 1916-70'."
-1705854515,-1896946720,23,24,unknown,
-1705198517,1519339388,519,521,unknown,
-1705027168,1155205332,626,627,no,FD section 'Poetry of the Spirit'.
-1703117585,-1757064847,185,187,unknown,
-1702417358,641538878,1234,1246,no,
-1702202828,-2082907021,,,unknown,
-1701223765,1999464314,,,unknown,
-1700414675,1176462032,62,62,unknown,
-1699643332,641538878,699,699,no,FD section 'Philanthropic Insitutions of 18th Century Ireland'.
-1697675131,641538878,1026,1028,no,"FD section 'Identity and Opposition: Women's Writing, 1890-1960'. First published in The Dubliner, 1963."
-1697478207,2002009033,,,unknown,
-1696282003,2091698419,,,unknown,
-1696252452,641538878,1501,1501,no,"FD section 'Women in the North of Ireland, 1969-2000'."
-1695908289,1176369270,64,64,unknown,
-1694140042,-82109711,366,389,no,
-1694102630,816039086,,,unknown,
-1693449889,889979883,,,unknown,
-1691667634,641538878,304,306,no,"FD section 'The Women's Movement and Politicians in the Republic, 1980-2000'. First published in the Sunday Tribune, 12 Dec 1999."
-1691497261,-847224210,,,no,
-1691288148,641538878,597,598,no,"FD section 'Women of the House, 1800-1950'."
-1690875452,-765889027,303,319,no,
-1690387159,641538878,939,944,no,"FD section 'Women's Fiction, 1845-1900'."
-1689362125,1155205332,464,467,no,
-1689136013,1327336300,,,unknown,
-1684000039,-339489239,,,unknown,
-1682535385,-359339667,,,unknown,
-1681678627,887901212,131,134,unknown,
-1681237460,-2082907021,,,unknown,
-1679909929,1155205332,1276,1279,no,FD section 'Storytelling Traditions of the Irish Travellers'. IFC MS 1498 (1932)
-1679000175,1519339388,294,295,unknown,
-1678479374,-988984442,,,yes,
-1678432223,-406679724,,,unknown,
-1676687574,-437917209,,,unknown,
-1675083198,-1210177322,9,19,no,
-1673847809,-1024243326,67,68,unknown,
-1670264512,1155205332,861,864,no,"FD section 'Sexual Expression and Genre, 1801-1917'."
-1670021300,641538878,1588,1591,no,"FD section 'Feminism, Culture and Critique in English'. First published in Women's View, 1980."
-1664270223,-1024243326,5,6,unknown,winner under-9 story
-1664061318,-1084703232,,,unknown,
-1663099943,-1598311630,,,unknown,
-1662552553,1185039783,116,118,no,Ni Chuilleanáin includes a commentary on her poem.
-1661631351,-78472961,,,unknown,Published anonymously
-1660476366,1202738011,71,78,no,
-1660277621,641538878,1150,1151,no,FD section 'Contemporary Fiction'.
-1657767035,1175079171,29,29,unknown,
-1657309905,1197822356,856,857,yes,
-1655521402,548479339,48,48,unknown,
-1654584912,-725429263,12,13,unknown,
-1652812668,-2082907021,,,unknown,
-1652474833,2091698419,,,unknown,
-1650366530,641538878,1396,1396,no,FD section 'Contemporary Poetry'.
-1649402466,641538878,1011,1019,no,"FD section 'Identity and Opposition: Women's Writing, 1890-1960'. First published in the Capuchin Annual 1940."
-1648832284,-1417010857,,,no,
-1648761753,1176369270,42,42,unknown,
-1647650800,-140080942,12,12,unknown,
-1645994140,1202738011,55,69,no,
-1644855514,641538878,423,427,no,"FD section 'Women and Politics in Northern Ireland, 1993-2000'."
-1643631749,1519339388,646,647,unknown,
-1643290826,751567631,487,508,unknown,
-1641446662,2086972351,1,19,unknown,Study of Mary Beckett
-1638987531,1155205332,1209,1212,no,"FD section 'Life Stories'. First published in Force 10: A Journal of the Northwest, no 3 (1991), pp. 84-9"
-1638861995,548479339,49,49,unknown,
-1637395949,1519339388,473,474,unknown,
-1636300386,641538878,137,137,no,"FD section 'Women and Politics in Indepenent Ireland, 1921-68'."
-1635098965,641538878,427,431,no,"FD section 'Women and Politics in Northern Ireland, 1993-2000'."
-1633118295,1187005574,39,40,no,
-1630606819,8953868,,,unknown,
-1628711083,1155205332,1279,1280,no,FD sesction 'Storytelling Traditions of the Irish Travellers'. 'The Enchanted Tree'.
-1627327791,680885255,30,41,yes,
-1626096877,-1896946720,39,40,unknown,
-1626073736,641538878,1380,1380,no,FD section 'Contemporary Poetry'.
-1626068065,641538878,920,920,no,
-1625518279,-1757064847,96,97,unknown,Published in The Shop v6 (2001)
-1623179283,-1870854362,57,68,no,
-1622805060,641538878,1637,1639,no,"FD section 'Feminism, Culture and Critique in English'."
-1622027825,-142216425,,,unknown,
-1620136465,2024393566,,,unknown,
-1616559395,423919546,17,17,unknown,
-1615777917,641538878,705,711,no,
-1613701229,106258136,,,unknown,
-1613685508,-625820913,,,unknown,
-1613606347,641538878,1367,1367,no,FD section 'Contemporary Poetry'.
-1613429295,-1919863437,,,no,
-1613360274,641538878,61,62,no,"FD section 'Political Writings and Public Voices, c. 1500-1800'. First printed in the Nation 1848, but issue never published."
-1612986380,-856150344,,,no,
-1611666495,641538878,177,187,no,
-1610990555,1155205332,1345,1348,no,FD section 'The Song Tradition'. IFC recording IFC/DISC 52A 1940
-1609255821,-1209873395,104,113,no,
-1608192429,1834302610,11,12,unknown,winner under-9 story
-1607564448,641538878,1387,1387,no,
-1604425007,-1896946720,10,11,unknown,
-1603691205,-1209873395,63,74,no,
-1603638310,641538878,1349,1350,no,FD section 'Contemporary Poetry'.
-1603031100,641538878,976,980,no,
-1600843929,-1870854362,44,56,no,
-1599445993,1941015041,123,139,unknown,
-1597814345,423919546,50,50,unknown,
-1597093470,641538878,1601,1605,no,"FD section 'Feminism, Culture and Critique in English'."
-1594267887,641538878,1609,1612,no,"FD section 'Feminism, Culture and Critique in English'."
-1593408608,681011241,110,129,no,
-1590273424,-140080942,37,37,unknown,
-1590178695,1990952211,138,143,no,
-1586638851,641538878,1387,1387,no,FD section 'Contemporary Poetry'.
-1585845718,-454661744,,,no,
-1584555319,641538878,1389,1389,no,FD section 'Contemporary Poetry'.
-1580318023,1646168793,241,250,unknown,English translation
-1579874122,1155205332,250,253,no,
-1579128969,1519339388,549,550,unknown,
-1577314572,-971430189,7,7,unknown,
-1576517504,-82109711,111,133,no,
-1573725358,-1907320341,30,30,no,
-1572732278,1176462032,51,51,unknown,
-1572612697,1519339388,680,681,unknown,
-1569935568,-1896946720,44,45,unknown,
-1569816004,128022962,,,unknown,
-1569137267,-1995217442,,,no,
-1569089361,-339489239,,,unknown,
-1568793792,641538878,1578,1587,no,
-1567225056,1155205332,341,344,no,
-1567047941,2039952197,263,274,unknown,
-1566608062,641538878,200,201,no,"FD section 'The Women's Movement in the Republic, 1968-80'."
-1565783995,-1963699250,,,no,
-1564050140,-2082907021,,,unknown,
-1563506073,1834302610,15,16,unknown,winner under-12 story
-1563463308,-140080942,15,15,unknown,
-1562180541,1155205332,546,548,no,"FD section 'The Century of Religious Zeal, 1800-74'."
-1561880265,567714609,77,77,unknown,
-1561813335,548479339,78,78,unknown,
-1560120204,641538878,1397,1397,no,FD section 'Contemporary Poetry'.
-1558750815,641538878,461,463,no,
-1558648729,641538878,1260,1263,no,FD section 'Contemporary Women Playwrights'.
-1558449269,1290396815,,,unknown,
-1557879551,-971430189,30,30,unknown,
-1557816161,1990952211,,,no,
-1557446690,1155205332,602,604,no,
-1555565838,-2018536685,,,unknown,
-1552258601,641538878,1390,1390,no,FD section 'Contemporary Poetry'.
-1552181145,1155205332,1116,1117,no,"FD section 'Lesbian Encounters, 1745-1997'."
-1549825433,-1857982938,61,71,unknown,from 1998
-1548558438,-971430189,76,76,unknown,
-1546136961,-1198750546,1304,1304,no,
-1546088583,-912726144,111,130,no,
-1545306331,1262484392,59,70,no,
-1543979392,-885656473,iii,xi,unknown,Study of Eithne Strong
-1543167062,641538878,1313,1313,no,FD section 'Contemporary Poetry'.
-1543095116,641538878,247,247,no,"FD section 'The Women's Movement and Politicians in the Republic, 1980-2000'. Speech on 13 Aug 1993."
-1542346278,-1623861544,75,79,unknown,
-1539636789,-869576681,,,unknown,
-1537575594,-34722615,257,269,unknown,
-1534785084,1445778179,,,unknown,
-1534228681,-45461817,,,no,
-1533914024,1155205332,983,984,no,"FD section 'Public Discourse, Private Reflection, 1916-70'. 'The Young Bride's Dream', 'Time is a Squirrel'."
-1533060101,-1907320341,20,20,unknown,
-1533034186,254027843,,,no,
-1531014483,1155205332,1416,1420,no,FD section 'Spirituality and Religion'. From original recordings 1975
-1526915885,603320942,,,no,
-1525534938,641538878,1484,1485,no,"FD section 'Women in the North of Ireland, 1969-2000'."
-1524663589,641538878,1336,1337,no,FD section 'Contemporary Poetry'.
-1523553323,1519339388,625,626,unknown,
-1523276155,293630667,,,unknown,
-1520326310,-1757064847,86,86,unknown,
-1514264011,-2069378448,335,338,unknown,Published in The Salmon 11 (1984)
-1511753393,641538878,1421,1423,no,"FD section 'Republic of Ireland: Politics of Sexuality. 1965-2000'. First published in the Irish Times, 14 Sept 1971."
-1509635789,641538878,1366,1366,no,FD section 'Contemporary Poetry'.
-1509577608,543397989,,,no,
-1509046674,-1757064847,82,82,unknown,
-1505033146,-2082907021,,,unknown,
-1504899767,-1896946720,59,60,unknown,
-1503784364,-1210177322,245,269,no,
-1500924122,-765889027,118,131,no,
-1500431132,1186650775,86,91,no,
-1500387488,641538878,959,966,no,"FD section 'Women's Fiction, 1845-1900'. Republished in the Irish Monthly, vol 42 (Jun-July 1914)."
-1497918459,2086972351,,,unknown,"First published in The Bell [ital], vol 5, no 1, Oct 1942"
-1496822238,641538878,1401,1401,no,FD section 'Contemporary Poetry'.
-1496394534,916721424,,,unknown,
-1493631168,-403859979,,,no,
-1491354801,-1548069,117,117,unknown,
-1490529527,1181223449,27,32,unknown,
-1489031401,641538878,1219,1222,no,"FD section 'Contemporary Fiction'. First published in the New Yorker, May 1964."
-1487883367,-644426569,,,unknown,
